transition,model_code,annual_probability, return_interval ,bps_name
Wind or Weather or Stress,13030_61_63_64_65_66,0.0038462,260,Northeastern Interior Dry-Mesic Oak Forest
Wind or Weather or Stress,13030_62,0.003457,289,Northeastern Interior Dry-Mesic Oak Forest
Wind or Weather or Stress,13040_32_43_44_49,0.0037106,269,Ozark-Ouachita Dry-Mesic Oak Forest
Wind or Weather or Stress,13050_47_48,0.0005838,1713,Southern Interior Low Plateau Dry-Mesic Oak Forest
Wind or Weather or Stress,13050_49,0.0003764,2657,Southern Interior Low Plateau Dry-Mesic Oak Forest
Wind or Weather or Stress,13050_53,0.000467,2141,Southern Interior Low Plateau Dry-Mesic Oak Forest
Wind or Weather or Stress,13060_47_48,0.005847,171,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland
Wind or Weather or Stress,13070_46_47_48,0.0055968,179,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest
Wind or Weather or Stress,13080_32_35,0.0042888,233,Crosstimbers Oak Forest and Woodland
Wind or Weather or Stress,13080_38_43_44,0.0042768,234,Crosstimbers Oak Forest and Woodland
Wind or Weather or Stress,13090_53_57,0.0025614,390,Southern Appalachian Northern Hardwood Forest
Wind or Weather or Stress,13100_38_42_43,0.0008554,1169,North-Central Interior Dry-Mesic Oak Forest and Woodland
Wind or Weather or Stress,13100_39,0.0005318,1880,North-Central Interior Dry-Mesic Oak Forest and Woodland
Wind or Weather or Stress,13100_41_62,0.0005396,1853,North-Central Interior Dry-Mesic Oak Forest and Woodland
Wind or Weather or Stress,13100_44_50,0.0008532,1172,North-Central Interior Dry-Mesic Oak Forest and Woodland
Wind or Weather or Stress,13100_47,0.0008994,1112,North-Central Interior Dry-Mesic Oak Forest and Woodland
Wind or Weather or Stress,13100_49,0.0004686,2134,North-Central Interior Dry-Mesic Oak Forest and Woodland
Wind or Weather or Stress,13100_51,0.000909,1100,North-Central Interior Dry-Mesic Oak Forest and Woodland
Wind or Weather or Stress,13100_52,0.000497,2012,North-Central Interior Dry-Mesic Oak Forest and Woodland
Wind or Weather or Stress,13110_39,0.001718,582,North-Central Interior Dry Oak Forest and Woodland
Wind or Weather or Stress,13110_42_43,0.0010784,927,North-Central Interior Dry Oak Forest and Woodland
Wind or Weather or Stress,13110_44,0.0013652,732,North-Central Interior Dry Oak Forest and Woodland
Wind or Weather or Stress,13110_49,0.001012,988,North-Central Interior Dry Oak Forest and Woodland
Wind or Weather or Stress,13110_50,0.0013354,749,North-Central Interior Dry Oak Forest and Woodland
Wind or Weather or Stress,13110_51,0.001093,915,North-Central Interior Dry Oak Forest and Woodland
Wind or Weather or Stress,13110_52,0.0010114,989,North-Central Interior Dry Oak Forest and Woodland
Wind or Weather or Stress,13120_44,0.0035162,284,Ouachita Montane Oak Forest
Wind or Weather or Stress,13130_47_50_51,0.140167,7,North-Central Interior Beech-Maple Forest
Wind or Weather or Stress,13130_49_52_62,0.1417808,7,North-Central Interior Beech-Maple Forest
Wind or Weather or Stress,13140_38_39_40_41_42_43_44_50,0.1402798,7,North-Central Interior Maple-Basswood Forest
Wind or Weather or Stress,13140_49,0.140435,7,North-Central Interior Maple-Basswood Forest
Wind or Weather or Stress,13150_48_53_57_59_61,0.0061372,163,Southern Appalachian Oak Forest
Wind or Weather or Stress,13160_54_57_59_61,0.0092818,108,Southern Piedmont Mesic Forest
Wind or Weather or Stress,13160_60,0.009186,109,Southern Piedmont Mesic Forest
Wind or Weather or Stress,13170_57_61,0.004162,240,Allegheny-Cumberland Dry Oak Forest and Woodland
Wind or Weather or Stress,13180_48_53,0.0065196,153,Southern and Central Appalachian Cove Forest
Wind or Weather or Stress,13180_57_59_61,0.004618,217,Southern and Central Appalachian Cove Forest
Wind or Weather or Stress,13200_48_57_61,0.0037226,269,Central and Southern Appalachian Montane Oak Forest
Wind or Weather or Stress,13210_47_48_53_57,0.0024548,407,South-Central Interior Mesophytic Forest
